"","id","edges","delay","X","accession","var","prt","trc","var.prt","var.trc","prt.norm","trc.norm"
"155","YGR256W",14,0,1456,"P53319","120min",3.61993201077651,1.49484924863494,5,5,0.850106822716051,-0.637667638773335
"156","YHR025W",19,0,6602,"P17423","0min",1,1,1,1,1.69909626858723,1.34207896770055
"157","YHR025W",19,0,6602,"P17423","30min",0.817526982671298,0.570381857934212,2,2,-0.0162120768087372,-1.29287280810842
"158","YHR025W",19,0,6602,"P17423","60min",0.771770318244518,0.707106781186548,3,3,-0.44634026506221,-0.454305848182599
"159","YHR025W",19,0,6602,"P17423","90min",0.782522944876307,0.757858283255199,4,4,-0.345261922266953,-0.143034634500269
"160","YHR025W",19,0,6602,"P17423","120min",0.724437801068018,0.870550563296124,5,5,-0.891282004449332,0.54813432309074
"161","YHR043C",15,2,1523,"P38773","0min",1,1,1,3,1.4146686184113,-1.73429364305934
"162","YHR043C",15,2,1523,"P38773","30min",0.93159346991423,1.84037530124975,2,4,0.60388305741671,0.49464949383142
"163","YHR043C",15,2,1523,"P38773","60min",0.788598748492062,1.74110112659225,3,5,-1.09095594818949,0.231342742735492
"164","YHR043C",15,2,1523,"P38773","90min",0.84847912975472,1.95884059517385,4,6,-0.381226212537935,0.808857209668853
"165","YHR043C",15,2,1523,"P38773","120min",0.834545876822393,1.72907446261573,5,7,-0.546369515100591,0.199444196823581
"166","YHR179W",137,0,5481,"Q03558","0min",1,1,1,1,1.60710366619234,1.67059879690535
"167","YHR179W",137,0,5481,"Q03558","30min",0.855859503078076,0.687770909069872,2,2,0.231688964404549,0.174349865388944
"168","YHR179W",137,0,5481,"Q03558","60min",0.777585182163444,0.489710148793463,3,3,-0.515218768380334,-0.77478719309617
"169","YHR179W",137,0,5481,"Q03558","90min",0.727297134345893,0.52850902028069,4,4,-0.995076419557521,-0.588857144637628
"170","YHR179W",137,0,5481,"Q03558","120min",0.797153174740813,0.550952557938305,5,5,-0.328497442659034,-0.481304324560495
"171","YJL020C",93,2,1822,"P47068","0min",1,1,1,3,1.07481702260517,-1.09495660388565
"172","YJL020C",93,2,1822,"P47068","30min",0.920225479555736,1.43395524801583,2,4,-0.461351759985461,0.184963644093493
"173","YJL020C",93,2,1822,"P47068","60min",0.934702138649695,1.90527599608787,3,5,-0.182583656429327,1.57509078625468
"174","YJL020C",93,2,1822,"P47068","90min",0.874868598051442,1.31950791077289,4,6,-1.33476127789335,-0.152590665790518
"175","YJL020C",93,2,1822,"P47068","120min",0.991123081429087,1.19747870461893,5,7,0.903879671702974,-0.512507160672003
"176","YJL217W",137,0,2528,"P40893","0min",1,1,1,1,1.61775943194168,1.69521329908374
"177","YJL217W",137,0,2528,"P40893","30min",0.861939607281291,0.707106781186548,2,2,0.0645908953048203,0.100401697672462
"178","YJL217W",137,0,2528,"P40893","60min",0.799132588153757,0.574349177498517,3,3,-0.641983119645212,-0.622467091830243
"179","YJL217W",137,0,2528,"P40893","90min",0.768965985804481,0.554784736033923,4,4,-0.981355018446002,-0.728996011650475
"180","YJL217W",137,0,2528,"P40893","120min",0.85095258946624,0.607097442197523,5,5,-0.0590121891552883,-0.444151893275487
"181","YJR073C",6,2,6205,"P05375","0min",1,1,1,3,-0.208731869508453,-1.54897280220851
"182","YJR073C",6,2,6205,"P05375","30min",1.08539509264033,2.14354692507259,2,4,0.253135016727269,-0.47367255518534
"183","YJR073C",6,2,6205,"P05375","60min",0.851528576900952,3.45814892523146,3,5,-1.01175264929221,0.762474230324376
"184","YJR073C",6,2,6205,"P05375","90min",0.925446832592495,3.34035167771348,4,6,-0.611959247392377,0.651707101684948
"185","YJR073C",6,2,6205,"P05375","120min",1.33059285879189,3.29436406907029,5,7,1.57930874946577,0.608464025384531
"186","YJR109C",1,2,5940,"P03965","0min",1,1,1,3,1.24199059253361,-0.941275545218939
"187","YJR109C",1,2,5940,"P03965","30min",0.891713329407419,0.63287829698514,2,4,0.430828335329754,-1.17938880374299
"188","YJR109C",1,2,5940,"P03965","60min",0.883099833285203,2.9485384345822,3,5,0.366305685231842,0.322536515488746
"189","YJR109C",1,2,5940,"P03965","90min",0.720953312726174,3.89061978964914,4,6,-0.848314146504168,0.933565663064542
"190","YJR109C",1,2,5940,"P03965","120min",0.675231527888375,3.78423058690238,5,7,-1.19081046659103,0.864562170408643
"191","YKL021C",3,2,669,"P20484","0min",1,1,1,3,1.03084026444928,1.48189421563896
"192","YKL021C",3,2,669,"P20484","30min",0.959658793387371,0.463294030945185,2,4,0.713174659600296,-1.33787266865694
"193","YKL021C",3,2,669,"P20484","60min",0.905012945451999,0.721964597761248,3,5,0.282867591604923,0.0211409073137199
"194","YKL021C",3,2,669,"P20484","90min",0.691651011287108,0.702222437868999,4,6,-1.39724447145423,-0.0825812271478672
"195","YKL021C",3,2,669,"P20484","120min",0.789131408932786,0.702222437868999,5,7,-0.629638044200271,-0.0825812271478672
"196","YKL142W",12,2,375,"P35719","0min",1,1,1,3,1.04825795460556,-1.25498099820482
"197","YKL142W",12,2,375,"P35719","30min",0.921680701850342,3.43426174575101,2,4,-0.041012045695332,1.51811531610729
"198","YKL142W",12,2,375,"P35719","60min",0.909201626402812,2.23457427614444,3,5,-0.214571855826819,0.151438578858552
"199","YKL142W",12,2,375,"P35719","90min",0.977148870228358,1.98618499087407,4,6,0.730442924066495,-0.131524998373922
"200","YKL142W",12,2,375,"P35719","120min",0.815116289001732,1.85317612378074,5,7,-1.52311697714991,-0.283047898387103
"201","YKL173W",7,2,864,"P36048","0min",1,1,1,3,-1.71510857204175,1.71166596974276
"202","YKL173W",7,2,864,"P36048","30min",1.32220679314548,0.876605721316035,2,4,0.231678714723811,0.00243080139156158
"203","YKL173W",7,2,864,"P36048","60min",1.42751772880863,0.829319545814442,3,5,0.867971912346856,-0.652568725378665
"204","YKL173W",7,2,864,"P36048","90min",1.30566298906536,0.823591017267573,4,6,0.131720339720308,-0.731919263828581
"205","YKL173W",7,2,864,"P36048","120min",1.36392428706616,0.852634891767957,5,7,0.483737605250773,-0.329608781927077
"206","YLL062C",645,0,3846,"Q12525","0min",1,1,1,1,1.69350635022167,0.735409413422826
"207","YLL062C",645,0,3846,"Q12525","30min",0.769018009008825,0.524858341811534,2,2,-0.856652887068633,-1.06835132783761
"208","YLL062C",645,0,3846,"Q12525","60min",0.806254060873071,1.15668818390529,3,3,-0.445547842842667,1.33023832365837
"209","YLL062C",645,0,3846,"Q12525","90min",0.851360394348575,0.716977624007914,4,4,0.0524491329356166,-0.339016795929424
"210","YLL062C",645,0,3846,"Q12525","120min",0.806416470890066,0.63287829698514,5,5,-0.443754753245985,-0.658279613314154
"211","YLR009W",29,0,2885,"Q07915","0min",1,1,1,1,1.51093373367658,1.53282707109679
"212","YLR009W",29,0,2885,"Q07915","30min",0.878661156270375,0.141610485661975,2,2,0.409827140230679,-1.27387141309343
"213","YLR009W",29,0,2885,"Q07915","60min",0.802227982075829,0.489710148793463,3,3,-0.283776568826793,-0.135680905708533
"214","YLR009W",29,0,2885,"Q07915","90min",0.771261468973743,0.521232880420561,4,4,-0.564786595827824,-0.0326102115801925
"215","YLR009W",29,0,2885,"Q07915","120min",0.715346194135682,0.503477775028359,5,5,-1.07219770925264,-0.0906645407146291
"216","YLR114C",178,0,1344,"Q12500","0min",1,1,1,1,1.46395829978237,1.68524887664443
"217","YLR114C",178,0,1344,"Q12500","30min",0.832050699406235,0.829319545814442,2,2,-0.483089685398027,-0.326076873584033
"218","YLR114C",178,0,1344,"Q12500","60min",0.804848674965817,0.858565436437754,3,3,-0.798444656763174,0.018561375591717
"219","YLR114C",178,0,1344,"Q12500","90min",0.92590373738807,0.817902058557781,4,4,0.604955146343145,-0.460622368156368
"220","YLR114C",178,0,1344,"Q12500","120min",0.805803172167425,0.7791645796605,5,5,-0.787379103964311,-0.917111010495742
"221","YLR188W",169,0,3399,"P33310","0min",1,1,1,1,0.383822662995099,1.07132143933606
"222","YLR188W",169,0,3399,"P33310","30min",0.328915689168778,0.664342907048256,2,2,-1.73856823688612,-1.64236026345192
