"","id","dtname","T1-T1","T2-T1","T3-T1","T4-T1","T5-T1"
"4308","YIL039W","prt",1,1.12228100203685,0.987545668183809,1.20694744740126,1.13059311067562
"4309","YIL039W","trc",1,0.712025097798536,0.864537231307865,0.946057646725596,0.920187650624875
"4310","YIL040W","trc",1,0.801069877589622,0.752623373705534,0.846745312362527,0.920187650624875
"4311","YIL041W","prt",1,0.856440817185611,0.803920614836972,0.84881322643445,0.821696864653483
"4312","YIL041W","trc",1,1.09429370126074,1.5157165665104,1.15668818390529,1.23114441334492
"4313","YIL042C","trc",1,1.53687518128801,1.25701337452183,1.04971668362307,1.15668818390529
"4314","YIL043C","prt",1,0.947969500218135,0.937049209713003,0.959390057122103,0.837137794599602
"4315","YIL043C","trc",1,0.812252396356236,1.02811382665607,1.00695555005672,0.882702996290655
"4316","YIL044C","prt",1,0.959772018508111,0.899476894165733,0.904432691122852,0.77591748329193
"4317","YIL044C","trc",1,1.38510946811092,1.10956947206785,0.972654947412286,1.00695555005672
"4318","YIL045W","trc",1,2.63901582154579,1.18099266142953,1.18099266142953,1.19747870461893
"4319","YIL046W","trc",1,0.882702996290655,1.18920711500272,1,1.02101212570719
"4320","YIL046W-A","trc",1,1.11728713807222,0.946057646725596,0.939522749214012,0.90125046261083
"4321","YIL047C","trc",1,0.514056913328033,0.784584097896751,0.757858283255199,0.790041311863377
"4322","YIL047C-A","trc",1,0.460093825312438,0.687770909069872,0.757858283255199,0.795536483754919
"4323","YIL048W","prt",1,1.06026072757354,1.1487914484827,1.14474580566207,1.07317012469914
"4324","YIL048W","trc",1,1.86606598307361,1.10190511587661,1.05701804056138,1.21419488439505
"4325","YIL049W","trc",1,1.20580782769076,0.933032991536807,0.88884268116657,0.979420297586927
"4326","YIL050W","trc",1,0.752623373705534,0.88884268116657,0.939522749214012,1.03526492384138
"4327","YIL051C","prt",1,0.829675868246767,0.804048003347795,0.76544198549439,0.821453332034339
"4328","YIL051C","trc",1,0.712025097798536,0.933032991536807,0.882702996290655,0.790041311863377
"4329","YIL052C","trc",1,0.702222437868999,0.864537231307865,1.10956947206785,0.979420297586927
"4330","YIL053W","prt",1,2.45642273351218,2.45813750083701,2.9302137426629,2.56131963935529
"4331","YIL053W","trc",1,2.01391110011344,1.49484924863494,1.18099266142953,1.4742692172911
"4332","YIL054W","trc",1,0.965936328924846,1.00695555005672,0.933032991536807,1.07922823650443
"4333","YIL055C","trc",1,4.14105969536551,1.64718203453515,1.50524674741107,1.90527599608787
"4334","YIL056W","trc",1,2.02791895958006,1.1328838852958,1.49484924863494,1.49484924863494
"4335","YIL057C","trc",1,1.07922823650443,1.22264027769207,1.04246576084112,1
"4336","YIL058W","trc",1,1.08673486252606,1.10956947206785,1.07177346253629,1
"4337","YIL059C","trc",1,1.04971668362307,0.920187650624875,1,1.03526492384138
"4338","YIL060W","trc",1,1.03526492384138,0.952637998043937,0.946057646725596,0.965936328924846
"4339","YIL061C","trc",1,0.655196701929182,0.858565436437754,0.864537231307865,0.870550563296124
"4340","YIL062C","prt",1,0.770865477063729,0.833671714928755,0.834545609572474,0.792397607284606
"4341","YIL062C","trc",1,1.4742692172911,1.5157165665104,1.23970769993899,1.19747870461893
"4342","YIL063C","prt",1,0.994307989715611,0.859076309504352,0.971032677092352,0.993019855540743
"4343","YIL063C","trc",1,1.08673486252606,0.840896415253715,0.90125046261083,0.668963777393056
